Product Added - ID: 1234, Name: shoe, Price: 23, Quantity: 5
Product Added - ID: , Name: bin liner, Price: 59.99, Quantity: 23
Product Added - ID: 589658, Name: bed, Price: 199.49, Quantity: 2
Product Added - ID: 78932, Name: mugs, Price: 3.99, Quantity: 25
Product Added - ID: 789325, Name: laptop, Price: 999.99, Quantity: 7
Product Added - ID: undefined, Name: undefined, Price: undefined, Quantity: undefined
Product Added - ID: undefined, Name: undefined, Price: undefined, Quantity: undefined
Product Added - ID: undefined, Name: undefined, Price: undefined, Quantity: undefined
Product Added - ID: undefined, Name: undefined, Price: undefined, Quantity: undefined
Product Added - ID: undefined, Name: undefined, Price: undefined, Quantity: undefined
Product Added - ID: 896542563, Name: laptop, Price: 566.99, Quantity: 2
Product Added - ID: undefined, Name: undefined, Price: undefined, Quantity: undefined
Product Added - ID: undefined, Name: undefined, Price: undefined, Quantity: undefined
Product Added - ID: undefined, Name: undefined, Price: undefined, Quantity: undefined
Product Added - ID: undefined, Name: undefined, Price: undefined, Quantity: undefined
Product Added - ID: 123456, Name: shoe, Price: 23.99, Quantity: 3
Product Added - ID: 1234, Name: shoe, Price: 23.99, Quantity: 10
Product Added - ID: undefined, Name: undefined, Price: undefined, Quantity: undefined
Product Added - ID: 12345, Name: bin, Price: 12.33, Quantity: 2
Product Added - ID: 12365, Name: shoes, Price: 23.55, Quantity: 50
Product Added - ID: undefined, Name: undefined, Price: undefined, Quantity: undefined
Product Added - ID: 1236, Name: laptop, Price: 999.99, Quantity: 5
Product Added - ID: undefined, Name: undefined, Price: undefined, Quantity: undefined
Product Added - ID: 12345, Name: laptop, Price: 999.99, Quantity: 5
Product Added - ID: 1235, Name: shoe, Price: 23.99, Quantity: 5
Product Added - ID: 123456, Name: shoe, Price: 23.99, Quantity: 3
Product Added - ID: 1256, Name: computer, Price: 256.99, Quantity: 2
